nationality,player,Rank,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
Serbia,Adem Ljajic,24.0,Torino,26.0,23(4),2155.0,6,10,2,,2.3,82.1,,4,7.21
Serbia,Aleksandar Mitrovic,4.0,Fulham,23.0,18(2),1653.0,12,1,3,,4.1,77.1,4.1,6,7.52
Serbia,Aleksandar Prijovic,,,,,,,,,,,,,,
Serbia,Luka Jovic,216.0,Eintracht Frankfurt,20.0,9(13),929.0,8,1,2,,1.7,73.6,1,,6.57
Germany,Manuel Neuer,,,,,,,,,,,,,,
Germany,Marc-Andre ter Stegen,89.0,Barcelona,26.0,37,3330.0,,,,,,79.5,0.1,,6.9
Germany,Marc-Andre ter Stegen,225.0,Barcelona,26.0,9,810.0,,,,,,74.5,0.2,,6.76
Germany,Kevin Trapp,,,,,,,,,,,,,,
Germany,Jerome Boateng,21.0,Bayern Munich,29.0,19,1644.0,1,2,4,,0.7,86.9,1.7,1,7.14
Germany,Jerome Boateng,215.0,Bayern Munich,29.0,8(1),677.0,,1,2,,0.2,84.5,1.3,,6.78
Germany,Matthias Ginter,85.0,Borussia M.Gladbach,24.0,34,3060.0,5,2,2,,0.9,87.1,2.9,1,6.92
Germany,Jonas Hector,47.0,FC Cologne,28.0,20,1761.0,2,2,4,,0.8,81.8,2.6,1,7.0
Germany,Mats Hummels,12.0,Bayern Munich,29.0,25(1),2213.0,1,1,3,,1,87.3,2.8,1,7.27
Germany,Mats Hummels,69.0,Bayern Munich,29.0,8(1),679.0,1,,1,,2.1,84.8,3,,7.18
Germany,Joshua Kimmich,15.0,Bayern Munich,23.0,26(3),2334.0,1,10,1,,0.3,90.3,0.8,1,7.23
Germany,Joshua Kimmich,38.0,Bayern Munich,23.0,10(1),897.0,4,3,2,,0.6,91.6,0.6,1,7.33
Germany,Marvin Plattenhardt,106.0,Hertha Berlin,26.0,33,2970.0,,7,6,,0.5,81.6,1,,6.85
Germany,Antonio Rudiger,87.0,Chelsea,25.0,25(2),2336.0,2,1,4,,0.6,89.5,2.2,1,6.92
Germany,Antonio Rudiger,398.0,Chelsea,25.0,4(2),389.0,,,1,,0.7,89.4,1.3,,6.32
Germany,Niklas Sule,92.0,Bayern Munich,22.0,20(7),1919.0,2,1,1,,0.7,92.7,1.6,1,6.9
Germany,Niklas Sule,317.0,Bayern Munich,22.0,6(3),644.0,,,,,0.7,94.1,0.9,,6.55
Germany,Julian Brandt,63.0,Bayer Leverkusen,22.0,26(8),2337.0,9,3,,,1.3,79.0,0.6,1,6.98
Germany,Julian Draxler,61.0,Paris Saint Germain,24.0,19(11),1706.0,4,5,1,,0.8,92.8,0.3,,7.04
Germany,Julian Draxler,281.0,Paris Saint Germain,24.0,3(5),316.0,,1,1,,0.5,91.7,0.4,,6.64
Germany,Mario Gomez,,,,,,,,,,,,,,
Germany,Leon Goretzka,43.0,Schalke 04,23.0,21(5),1983.0,4,2,3,,1.7,79.8,1.3,1,7.03
Germany,Ilkay Gundogan,180.0,Manchester City,27.0,15(15),1510.0,4,1,3,,1.2,91.7,0.1,,6.73
Germany,Ilkay Gundogan,103.0,Manchester City,27.0,6(3),503.0,2,2,2,,1.4,90.9,0.1,1,7.07
Germany,Sami Khedira,240.0,Juventus,31.0,8,633.0,,3,,,0.6,86.7,1,,6.73
Germany,Sami Khedira,85.0,Juventus,31.0,24(2),1922.0,9,2,1,,1.2,87.2,0.7,1,6.91
Germany,Toni Kroos,8.0,Real Madrid,28.0,26(1),2268.0,5,7,4,,1.5,93.1,0.4,,7.47
Germany,Toni Kroos,123.0,Real Madrid,28.0,10(2),953.0,,1,,,0.7,93.9,0.2,,7.01
Germany,Thomas Muller,11.0,Bayern Munich,28.0,22(7),1966.0,8,14,4,,1.5,76.9,1.2,1,7.28
Germany,Thomas Muller,105.0,Bayern Munich,28.0,8(2),734.0,3,2,1,,2.3,74.1,1.8,,7.06
Germany,Mesut Ozil,12.0,Arsenal,29.0,7,609.0,1,4,,,1,86.4,,1,7.7
Germany,Mesut Ozil,23.0,Arsenal,29.0,24(2),2164.0,4,8,4,,1.5,86.5,,2,7.25
Germany,Marco Reus,742.0,Borussia Dortmund,29.0,3(1),229.0,,,,,0.8,79.1,0.3,,6.13
Germany,Sebastian Rudy,109.0,Bayern Munich,28.0,16(9),1509.0,1,4,2,,0.8,89.9,0.8,,6.84
Germany,Sebastian Rudy,200.0,Bayern Munich,28.0,3(2),346.0,,,2,,1,92.4,0.6,,6.8
Germany,Timo Werner,30.0,RasenBallsport Leipzig,22.0,5,445.0,4,2,,,3.8,79.0,,1,7.48
Germany,Timo Werner,94.0,RasenBallsport Leipzig,22.0,28(4),2493.0,13,7,1,,3,75.2,0.5,2,6.9
Germany,Timo Werner,208.0,RasenBallsport Leipzig,22.0,4(2),331.0,3,,,,2,65.8,0.2,,6.79
Mexico,Jesus Corona,,,,,,,,,,,,,,
Mexico,Alfredo Talavera,,,,,,,,,,,,,,
Mexico,Guillermo Ochoa,,,,,,,,,,,,,,
Mexico,Hugo Ayala,,,,,,,,,,,,,,
Mexico,Carlos Salcedo,184.0,Eintracht Frankfurt,24.0,17(3),1608.0,,,5,,0.3,80.3,2.4,,6.68
Mexico,Diego Reyes,367.0,FC Porto,25.0,2(4),234.0,,,,,,89.1,1,,6.41
Mexico,Miguel Layun,,,,,,,,,,,,,,
Mexico,Hector Moreno,,,,,,,,,,,,,,
Mexico,Edson Alvarez,,,,,,,,,,,,,,
Mexico,Rafael Marquez,,,,,,,,,,,,,,
Mexico,Jonathan dos Santos,137.0,LA Galaxy,28.0,7(1),622.0,1,,2,,0.6,88.0,0.1,,6.88
Mexico,Marco Fabian,,,,,,,,,,,,,,
Mexico,Giovani dos Santos,,,,,,,,,,,,,,
Mexico,Hector Herrera,8.0,FC Porto,28.0,26(3),2335.0,3,4,7,,1.3,84.7,2.2,1,7.5
Mexico,Hector Herrera,90.0,FC Porto,28.0,6,531.0,1,1,1,,1.2,82.9,1.8,,7.09
Mexico,Andres Guardado,83.0,Real Betis,31.0,25(4),2267.0,2,8,7,,1.1,86.5,0.6,2,6.91
Mexico,Raul Jimenez,177.0,Benfica,27.0,6(27),970.0,6,6,3,,1.5,68.7,1.5,1,6.59
Mexico,Raul Jimenez,357.0,Benfica,27.0,3(2),308.0,,,,,1.8,67.3,2.8,,6.44
Mexico,Carlos Vela,2.0,Los Angeles FC,29.0,12,1080.0,7,2,1,,3.9,83.4,0.3,4,7.82
Mexico,Javier Hernandez,,,,,,,,,,,,,,
Mexico,Jesus Corona,,,,,,,,,,,,,,
Mexico,Oribe Peralta,,,,,,,,,,,,,,
Mexico,Javier Aquino,,,,,,,,,,,,,,
Mexico,Hirving Lozano,3.0,PSV Eindhoven,22.0,29,2350.0,17,8,4,2,3.4,75.3,0.6,8,7.9
Sweden,Robin Olsen,270.0,FC Copenhagen,28.0,6,540.0,,,,,,62.9,,,6.9
Sweden,Karl-Johan Johnsson,198.0,Guingamp,28.0,38,3420.0,,,,,,58.6,0.4,1,6.68
Sweden,Kristoffer Nordfeldt,,,,,,,,,,,,,,
Sweden,Mikael Lustig,241.0,Celtic,31.0,6,463.0,,,,,0.3,86.1,1.8,1,6.72
Sweden,Victor Lindelof,138.0,Manchester United,23.0,5,450.0,,,,,,90.3,1.2,,6.98
Sweden,Andreas Granqvist,18.0,FC Krasnodar,33.0,29,2610.0,1,2,6,,0.3,87.0,2.8,2,7.16
Sweden,Martin Olsson,281.0,Swansea,30.0,36,3154.0,,1,7,,0.5,73.5,1.3,,6.32
Sweden,Ludwig Augustinsson,154.0,Werder Bremen,24.0,29,2535.0,1,,3,,0.8,78.1,1.5,,6.73
Sweden,Filip Helander,172.0,Bologna,25.0,27(2),2499.0,,,5,,0.1,81.4,2.1,,6.7
Sweden,Emil Krafth,,,,,,,,,,,,,,
Sweden,Pontus Jansson,45.0,Leeds,27.0,41(1),3560.0,3,,13,,0.6,83.2,3.9,3,7.12
Sweden,Sebastian Larsson,232.0,Hull,33.0,37(3),3246.0,2,4,13,,0.9,79.3,0.5,,6.7
Sweden,Albin Ekdal,207.0,Hamburger SV,28.0,12(7),1109.0,,1,3,,0.4,76.3,1.6,,6.61
Sweden,Emil Forsberg,277.0,RasenBallsport Leipzig,26.0,3(3),326.0,,2,,,0.8,78.9,0.2,1,6.89
Sweden,Emil Forsberg,110.0,RasenBallsport Leipzig,26.0,15(6),1374.0,2,2,,1,1.7,79.7,0.3,1,6.84
Sweden,Emil Forsberg,80.0,RasenBallsport Leipzig,26.0,5,412.0,2,,,,2.4,79.9,0.6,,7.11
Sweden,Gustav Svensson,59.0,Seattle Sounders FC,31.0,9,810.0,1,,1,,0.8,85.5,1.9,,7.11
Sweden,Oscar Hiljemark,,,,,,,,,,,,,,
Sweden,Viktor Claesson,23.0,FC Krasnodar,26.0,28(2),2490.0,10,6,1,,2.3,80.4,0.9,4,7.12
Sweden,Marcus Rohden,269.0,Crotone,27.0,20(6),1637.0,2,,2,,0.8,67.6,0.8,,6.35
Sweden,Jimmy Durmaz,216.0,Toulouse,29.0,12(8),1032.0,3,3,5,,0.7,72.9,0.5,1,6.61
Sweden,Marcus Berg,,,,,,,,,,,,,,
Sweden,John Guidetti,,,,,,,,,,,,,,
Sweden,Ola Toivonen,293.0,Toulouse,31.0,8(15),796.0,,,2,,0.8,71.5,1.9,,6.27
Sweden,Isaac Kiese Thelin,,,,,,,,,,,,,,
South Korea,Kim Seunggyu,,,,,,,,,,,,,,
South Korea,Kim Jinhyeon,,,,,,,,,,,,,,
South Korea,Cho Hyeonwoo,,,,,,,,,,,,,,
South Korea,Kim Younggwon,,,,,,,,,,,,,,
South Korea,Jang Hyunsoo,,,,,,,,,,,,,,
South Korea,Jeong Seunghyeon,,,,,,,,,,,,,,
South Korea,Yun Yeongseon,,,,,,,,,,,,,,
South Korea,Oh Bansuk,,,,,,,,,,,,,,
South Korea,Kim Minwoo,,,,,,,,,,,,,,
South Korea,Park Jooho,,,,,,,,,,,,,,
South Korea,Hong Chul,,,,,,,,,,,,,,
South Korea,Go Yohan,,,,,,,,,,,,,,
South Korea,Lee Yong,,,,,,,,,,,,,,
South Korea,Ki Sungyueng,,,,,,,,,,,,,,
South Korea,Jeong Wooyoung,,,,,,,,,,,,,,
South Korea,Ju Sejong,,,,,,,,,,,,,,
South Korea,Koo Jacheol,,,,,,,,,,,,,,
South Korea,Lee Jaesung,,,,,,,,,,,,,,
South Korea,Lee Seungwoo,,,,,,,,,,,,,,
South Korea,Moon Sunmin,,,,,,,,,,,,,,
South Korea,Kim Shinwook,,,,,,,,,,,,,,
South Korea,Son Heungmin,,,,,,,,,,,,,,
South Korea,Hwang Heechan,,,,,,,,,,,,,,
Belgium,Koen Casteels,86.0,Wolfsburg,25.0,34,3060.0,,,1,,,60.7,0.6,2,6.92
Belgium,Thibaut Courtois,211.0,Chelsea,26.0,35,3150.0,,,2,,,70.4,0.1,,6.63
Belgium,Thibaut Courtois,348.0,Chelsea,26.0,8,720.0,,1,,,,62.7,,,6.46
Belgium,Simon Mignolet,261.0,Liverpool,30.0,19,1710.0,,,3,,,69.5,0.2,,6.49
Belgium,Toby Alderweireld,134.0,Tottenham,29.0,4,294.0,,1,,,0.5,81.3,1.3,,7.0
Belgium,Dedryck Boyata,275.0,Celtic,27.0,5,450.0,,,,,,91.4,1.4,,6.65
Belgium,Vincent Kompany,,,,,,,,,,,,,,
Belgium,Thomas Meunier,54.0,Paris Saint Germain,26.0,16(8),1573.0,4,4,3,,0.5,84.8,1,,7.09
Belgium,Thomas Vermaelen,,,,,,,,,,,,,,
Belgium,Jan Vertonghen,22.0,Tottenham,31.0,36,3205.0,,,4,,0.7,86.3,3.3,3,7.26
Belgium,Jan Vertonghen,231.0,Tottenham,31.0,6,540.0,,1,1,1,0.3,86.5,2,,6.75
Belgium,Nacer Chadli,,,,,,,,,,,,,,
Belgium,Kevin De Bruyne,2.0,Manchester City,26.0,36(1),3085.0,8,16,2,,2.5,83.4,0.4,8,7.8
Belgium,Kevin De Bruyne,18.0,Manchester City,26.0,8,667.0,1,4,4,,2.1,82.8,0.8,2,7.66
Belgium,Mousa Dembele,94.0,Tottenham,30.0,21(7),1886.0,,,6,,0.4,92.2,0.3,,6.9
Belgium,Mousa Dembele,268.0,Tottenham,30.0,3(3),328.0,,,2,,,92.7,0.2,,6.66
Belgium,Leander Dendoncker,446.0,Anderlecht,23.0,6,540.0,,,1,,0.5,89.6,0.8,,6.1
Belgium,Marouane Fellaini,,,,,,,,,,,,,,
Belgium,Youri Tielemans,123.0,Monaco,21.0,18(9),1567.0,,1,1,,0.9,81.8,1,,6.84
Belgium,Youri Tielemans,207.0,Monaco,21.0,4,311.0,1,,1,,1.3,76.1,1.8,,6.79
Belgium,Axel Witsel,60.0,Tianjin Quanjian,29.0,9,805.0,1,,,,0.6,86.8,2.4,1,6.95
Belgium,Michy Batshuayi,249.0,Borussia Dortmund,24.0,4,331.0,2,,1,,2.8,73.8,1.3,,6.93
Belgium,Michy Batshuayi,191.0,Chelsea,24.0,1(3),123.0,2,,,,1.3,82.9,0.5,,6.82
Belgium,Yannick Carrasco,33.0,Dalian Yifang,24.0,11,990.0,3,2,2,,3.5,81.7,0.2,1,7.16
Belgium,Yannick Carrasco,370.0,Atletico Madrid,24.0,3(2),269.0,,,,,1.8,80.5,,,6.4
Belgium,Eden Hazard,4.0,Chelsea,27.0,28(6),2433.0,12,4,2,,2.1,83.6,0.2,9,7.69
Belgium,Eden Hazard,14.0,Chelsea,27.0,7(1),611.0,3,3,,,2.8,77.6,0.5,2,7.72
Belgium,Thorgan Hazard,26.0,Borussia M.Gladbach,25.0,33(1),2947.0,10,5,1,,2.6,76.3,0.9,3,7.11
Belgium,Adnan Januzaj,34.0,Real Sociedad,23.0,3(3),368.0,1,1,,,3.3,82.4,0.5,1,7.46
Belgium,Adnan Januzaj,103.0,Real Sociedad,23.0,18(10),1580.0,3,5,4,,2.1,80.5,0.2,4,6.86
Belgium,Romelu Lukaku,17.0,Manchester United,25.0,33(1),2869.0,16,7,4,,2.5,68.4,3.2,2,7.29
Belgium,Romelu Lukaku,16.0,Manchester United,25.0,8,704.0,5,,,,3.3,70.3,4.5,2,7.7
Belgium,Dries Mertens,65.0,Napoli,31.0,5(1),481.0,2,3,3,,2.8,69.6,0.3,2,7.2
Belgium,Dries Mertens,25.0,Napoli,31.0,35(3),3013.0,18,6,4,,3.4,75.5,0.1,7,7.21
Panama,Jose Calderon,,,,,,,,,,,,,,
Panama,Jaime Penedo,,,,,,,,,,,,,,
Panama,Alex Rodr,,,,,,,,,,,,,,
Tunisia,Farouk Ben Mustapha,,,,,,,,,,,,,,
Tunisia,Moez Hassen,,,,,,,,,,,,,,
Tunisia,Aymen Mathlouthi,,,,,,,,,,,,,,
Tunisia,Rami Bedoui,,,,,,,,,,,,,,
Tunisia,Yohan Benalouane,,,,,,,,,,,,,,
Tunisia,Syam Ben Youssef,138.0,Kasimpasa,29.0,24(2),2146.0,1,,7,,0.3,84.6,2,1,6.75
Tunisia,Dylan Bronn,,,,,,,,,,,,,,
Tunisia,Oussama Haddadi,252.0,Dijon,26.0,27(6),2501.0,1,1,6,1,0.2,78.0,0.5,,6.5
Tunisia,Ali Maaloul,,,,,,,,,,,,,,
Tunisia,Yassine Meriah,,,,,,,,,,,,,,
Tunisia,Hamdi Nagguez,,,,,,,,,,,,,,
Tunisia,Anice Badri,,,,,,,,,,,,,,
Tunisia,Mohamed Amine Ben Amor,,,,,,,,,,,,,,
Tunisia,Ghaylene Chaalali,,,,,,,,,,,,,,
Tunisia,Ahmed Khalil,,,,,,,,,,,,,,
Tunisia,Saifeddine Khaoui,,,,,,,,,,,,,,
Tunisia,Ferjani Sassi,,,,,,,,,,,,,,
Tunisia,Ellyes Skhiri,37.0,Montpellier,23.0,35,3052.0,4,1,8,,1.1,86.2,1,2,7.13
Tunisia,Naim Sliti,16.0,Dijon,25.0,26(5),2297.0,7,6,2,,1.9,73.1,0.5,3,7.31
Tunisia,Bassem Srarfi,507.0,Nice,20.0,1(3),97.0,,1,1,,0.5,88.1,,,6.59
Tunisia,Bassem Srarfi,275.0,Nice,20.0,10(16),865.0,3,,1,,0.9,84.3,0.2,,6.41
Tunisia,Fakhreddine Ben Youssef,,,,,,,,,,,,,,
Tunisia,Saber Khalifa,,,,,,,,,,,,,,
Tunisia,Wahbi Khazri,68.0,Rennes,27.0,23(1),1927.0,9,2,7,1,2.7,77.6,0.7,3,7.0
England,Jack Butland,158.0,Stoke,25.0,35,3150.0,,,,,,46.1,0.2,2,6.76
England,Nick Pope,83.0,Burnley,26.0,34(1),3114.0,,,3,,,39.0,0.3,,6.93
England,Jordan Pickford,210.0,Everton,24.0,38,3420.0,,,,,,44.5,0.5,,6.63
England,Fabian Delph,31.0,Manchester City,28.0,21(1),1746.0,1,2,2,,0.5,93.0,1,1,7.16
England,Fabian Delph,114.0,Manchester City,28.0,4(1),383.0,,,,,0.2,92.7,0.6,,7.04
England,Danny Rose,,,,,,,,,,,,,,
England,Eric Dier,75.0,Tottenham,24.0,32(2),2827.0,,2,4,,0.9,86.3,2.4,,6.96
England,Eric Dier,179.0,Tottenham,24.0,7,614.0,,1,1,,0.4,80.9,1.6,,6.86
England,Kyle Walker,53.0,Manchester City,28.0,32,2787.0,,6,2,1,0.4,87.8,2.2,,7.05
England,Kyle Walker,84.0,Manchester City,28.0,7,630.0,,1,1,,0.3,87.7,2.1,,7.1
England,Kieran Trippier,57.0,Tottenham,27.0,21(3),1914.0,,5,1,,0.3,81.4,1.5,,7.04
England,Trent Alexander-Arnold,63.0,Liverpool,19.0,18(1),1576.0,1,1,3,,0.6,77.3,0.3,,7.02
England,Trent Alexander-Arnold,102.0,Liverpool,19.0,9(1),821.0,1,1,2,,0.8,77.0,0.2,,7.07
England,Harry Maguire,49.0,Leicester,25.0,38,3420.0,2,4,7,,0.8,78.4,3.1,1,7.08
England,John Stones,11.0,Manchester City,24.0,5,450.0,3,,,,0.8,95.5,2,1,7.87
England,Phil Jones,27.0,Manchester United,26.0,23,1975.0,,,2,,0.1,91.2,2.5,2,7.21
England,Gary Cahill,113.0,Chelsea,32.0,24(3),2084.0,,,1,1,0.4,89.0,3.4,,6.87
England,Gary Cahill,319.0,Chelsea,32.0,5(1),448.0,,,1,,0.7,92.2,1.7,,6.54
England,Jordan Henderson,77.0,Liverpool,27.0,25(2),2173.0,1,1,1,,0.6,84.4,1,,6.95
England,Jordan Henderson,177.0,Liverpool,27.0,9(1),868.0,,,3,,0.2,82.7,0.8,,6.86
England,Jesse Lingard,127.0,Manchester United,25.0,20(13),1823.0,8,5,2,,1.7,87.8,0.2,1,6.82
England,Jesse Lingard,426.0,Manchester United,25.0,3(3),246.0,,,2,,0.7,91.6,0.3,,6.23
England,Ruben Loftus-Cheek,47.0,Crystal Palace,22.0,21(3),1875.0,2,3,1,,1.3,82.4,1.3,1,7.08
England,Ashley Young,38.0,Manchester United,32.0,28(2),2448.0,2,4,7,,0.6,79.5,0.6,4,7.12
England,Ashley Young,51.0,Manchester United,32.0,4,337.0,,1,1,,0.5,83.9,0.5,,7.27
England,Dele Alli,44.0,Tottenham,22.0,34(2),2972.0,9,10,7,,1.9,77.2,0.8,1,7.09
England,Dele Alli,13.0,Tottenham,22.0,5,427.0,2,4,1,,1.6,80.7,0.6,1,7.73
England,Raheem Sterling,7.0,Manchester City,23.0,29(4),2593.0,18,11,3,1,2.6,84.0,0.2,4,7.55
England,Raheem Sterling,28.0,Manchester City,23.0,5(3),497.0,4,1,1,,1.3,80.6,0.3,3,7.4
England,Harry Kane,5.0,Tottenham,24.0,35(2),3083.0,30,2,5,,5,71.2,1.6,9,7.6
England,Harry Kane,2.0,Tottenham,24.0,7,597.0,7,2,,,4.6,78.6,1.6,2,8.34
England,Jamie Vardy,71.0,Leicester,31.0,37,3258.0,20,1,3,,1.9,60.5,2.1,,6.98
England,Marcus Rashford,164.0,Manchester United,20.0,17(18),1810.0,7,5,3,,1.7,78.3,0.5,1,6.76
England,Marcus Rashford,153.0,Manchester United,20.0,3(5),345.0,3,1,1,,2.4,75.4,0.4,1,6.94
England,Danny Welbeck,39.0,Arsenal,27.0,9(1),762.0,3,,,,2.1,84.8,1.6,1,7.42
England,Danny Welbeck,250.0,Arsenal,27.0,12(16),1185.0,5,2,1,,1.1,79.8,0.9,2,6.52
Poland,Bartosz Bialkowski,187.0,Ipswich,30.0,45,4050.0,,,,,,42.9,0.5,1,6.79
Poland,Lukasz Fabianski,97.0,Swansea,33.0,38,3420.0,,,,,,53.4,0.4,3,6.89
Poland,Wojciech Szczesny,,,,,,,,,,,,,,
Poland,Jan Bednarek,,,,,,,,,,,,,,
Poland,Bartosz Bereszynski,179.0,Sampdoria,25.0,28(3),2484.0,,1,5,,0.2,81.1,0.8,1,6.69
Poland,Thiago Cionek,,,,,,,,,,,,,,
Poland,Kamil Glik,42.0,Monaco,30.0,36,3240.0,3,3,8,,0.7,81.1,2.7,1,7.12
Poland,Kamil Glik,292.0,Monaco,30.0,6,540.0,1,,,,0.7,73.3,3.8,,6.61
Poland,Artur Jedrzejczyk,,,,,,,,,,,,,,
Poland,Michal Pazdan,,,,,,,,,,,,,,
Poland,Lukasz Piszczek,19.0,Borussia Dortmund,33.0,24,2140.0,,3,3,,0.8,81.3,2.7,,7.19
Poland,Jakub Blaszczykowski,,,,,,,,,,,,,,
Poland,Jacek Goralski,181.0,Ludogorets Razgrad,25.0,6(1),485.0,,,1,,0.3,86.6,0.1,1,7.01
Poland,Kamil Goricki,,,,,,,,,,,,,,
Poland,Grzegorz Krychowiak,213.0,West Bromwich Albion,28.0,20(7),1643.0,,2,2,,0.6,78.4,1,,6.62
Poland,Slawomir Peszko,,,,,,,,,,,,,,
Poland,Maciej Rybus,405.0,Lokomotiv Moscow,28.0,5(1),495.0,1,,1,,0.5,83.1,0.8,,6.7
Poland,Maciej Rybus,131.0,Lokomotiv Moscow,28.0,16(4),1492.0,,,4,,0.5,82.5,1,,6.7
Poland,Piotr Zielinski,198.0,Napoli,24.0,4(1),353.0,2,,,,1,83.9,0.4,,6.81
Poland,Piotr Zielinski,155.0,Napoli,24.0,14(22),1659.0,4,2,3,,1.1,88.0,0.2,,6.75
Poland,Rafal Kurzawa,,,,,,,,,,,,,,
Poland,Karol Linetty,166.0,Sampdoria,23.0,21(8),2133.0,3,2,8,,0.9,81.0,0.4,,6.71
Poland,Dawid Kownacki,235.0,Sampdoria,21.0,6(16),811.0,5,1,,,1,75.4,1.4,,6.51
Poland,Robert Lewandowski,3.0,Bayern Munich,29.0,24(6),2169.0,29,2,1,,4.2,79.5,1.8,2,7.49
Poland,Robert Lewandowski,47.0,Bayern Munich,29.0,11,955.0,5,1,2,,4.2,77.1,2,1,7.29
Poland,Arkadiusz Milik,,,,,,,,,,,,,,
Poland,Lukasz Teodorczyk,392.0,Anderlecht,27.0,4(2),389.0,,1,1,,2,65.8,4,,6.34
Senegal,Abdoulaye Diallo,,,,,,,,,,,,,,
Senegal,Khadim Ndiaye,,,,,,,,,,,,,,
Senegal,Alfred Gomis,177.0,SPAL 2013,24.0,25(1),2260.0,,,,,,51.8,0.2,1,6.69
Senegal,Lamine Gassama,94.0,Alanyaspor,28.0,31,2675.0,,,8,,0.1,77.9,1,1,6.86
Senegal,Moussa Wague,,,,,,,,,,,,,,
Senegal,Saliou Ciss,,,,,,,,,,,,,,
Senegal,Youssouf Sabaly,45.0,Bordeaux,25.0,35,3094.0,,5,3,,0.3,82.3,1.2,2,7.11
Senegal,Kalidou Kalidou,,,,,,,,,,,,,,
Senegal,Salif Sane,8.0,Hannover 96,27.0,32,2880.0,4,1,6,,0.9,81.0,5.7,5,7.34
Senegal,Cheikhou Kouyate,136.0,West Ham,28.0,32(1),2803.0,2,3,5,,0.7,76.0,3.7,2,6.8
Senegal,Kara Mbodji,,,,,,,,,,,,,,
Senegal,Idrisa Gana Gueye,,,,,,,,,,,,,,
Senegal,Cheikh Ndoye,,,,,,,,,,,,,,
Senegal,Alfred Ndiaye,,,,,,,,,,,,,,
Senegal,Pape Alioune Ndiaye,,,,,,,,,,,,,,
Senegal,Moussa Sow,,,,,,,,,,,,,,
Senegal,Moussa Konate,209.0,Amiens,25.0,28(5),2482.0,13,1,8,,2.1,67.7,2.3,2,6.64
Senegal,Diafra Sakho,,,,,,,,,,,,,,
Senegal,Sadio Mane,20.0,Liverpool,26.0,28(1),2207.0,10,7,3,1,2.4,80.4,0.9,1,7.27
Senegal,Sadio Mane,5.0,Liverpool,26.0,11,940.0,10,1,2,,2.8,77.2,1.5,4,8.12
Senegal,Ismaila Sarr,92.0,Rennes,20.0,22(2),1866.0,5,3,2,,1.7,79.7,0.5,,6.92
Senegal,Mame Biram Diouf,162.0,Stoke,30.0,30(5),2602.0,6,2,6,,1.7,57.3,4.1,2,6.76
Senegal,Mbaye Niang,,,,,,,,,,,,,,
Senegal,Diao Keita Balde,,,,,,,,,,,,,,
Colombia,David Ospina,240.0,Arsenal,29.0,10,900.0,,,,,,74.0,0.1,1,6.94
Colombia,Camilo Vargas,,,,,,,,,,,,,,
Colombia,Jose Fernando Cuadrado,,,,,,,,,,,,,,
Colombia,Cristian Zapata,235.0,AC Milan,31.0,4,360.0,,,,,0.5,89.1,2.5,,6.94
Colombia,Davinson Sanchez,78.0,Tottenham,21.0,29(2),2535.0,,,1,1,0.3,89.4,2.4,,6.94
Colombia,Davinson Sanchez,236.0,Tottenham,21.0,8,720.0,,,,,0.4,89.7,1.3,,6.74
Colombia,Santiago Arias,25.0,PSV Eindhoven,26.0,30,2664.0,3,6,5,,1.5,82.3,1,2,7.25
Colombia,Oscar Murillo,,,,,,,,,,,,,,
Colombia,Frank Fabra,9.0,Boca Juniors,27.0,22,1936.0,2,3,6,,0.5,83.8,1.4,2,7.45
Colombia,Johan Mojica,155.0,Girona,25.0,22(8),2132.0,,4,6,,0.7,77.8,0.9,1,6.74
Colombia,Yerry Mina,,,,,,,,,,,,,,
Colombia,Wilmar Barrios,17.0,Boca Juniors,24.0,23,1991.0,1,,6,,0.2,84.4,2,1,7.36
Colombia,Carlos Sanchez,,,,,,,,,,,,,,
Colombia,Jefferson Lerma,62.0,Levante,23.0,25(1),2138.0,,1,16,,1,81.7,3.4,,6.99
Colombia,Jose Izquierdo,212.0,Brighton,25.0,23(9),1989.0,5,3,2,,1.6,78.4,0.5,,6.62
Colombia,James Rodriguez,1.0,Bayern Munich,26.0,19(4),1627.0,7,11,2,,1.7,90.0,0.3,5,7.63
Colombia,James Rodriguez,110.0,Bayern Munich,26.0,8(4),779.0,1,2,1,,1.7,89.8,,,7.05
Colombia,Abel Aguilar,,,,,,,,,,,,,,
Colombia,Juan Fernando Quintero,,,,,,,,,,,,,,
Colombia,Mateus Uribe,,,,,,,,,,,,,,
Colombia,Juan Guillermo Cuadrado,,,,,,,,,,,,,,
Colombia,Radamel Falcao Garcia,,,,,,,,,,,,,,
Colombia,Miguel Borja,,,,,,,,,,,,,,
Colombia,Carlos Bacca,501.0,Villarreal,31.0,6,484.0,2,1,,,2.7,75.5,0.7,,6.6
Colombia,Carlos Bacca,70.0,Villarreal,31.0,30(5),2512.0,15,6,9,,2.1,73.8,0.7,3,6.95
Colombia,Luis Fernando Muriel,,,,,,,,,,,,,,
Japan,Eiji Kawashima,217.0,Metz,35.0,29,2570.0,,,,1,,49.3,,,6.61
Japan,Masaaki Higashiguchi,,,,,,,,,,,,,,
Japan,Kosuke Nakamura,,,,,,,,,,,,,,
Japan,Yuto Nagatomo,,,,,,,,,,,,,,
Japan,Tomoaki Makino,,,,,,,,,,,,,,
