url,date,game,stadium,venue,home,away,home_result,away_result,home_attempts,away_attempts,home_on-target,away_on-target,home_off-target,away_off-target,home_blocked,away_blocked,home_woodwork,away_woodwork,home_corners,away_corners,home_offsides,away_offsides,home_passes,away_passes,home_passes_completed,away_passes_completed,home_distance_covered,away_distance_covered,home_balls_recovered,away_balls_recovered,home_tackles,away_tackles,home_blocks,away_blocks,home_clearances,away_clearances,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_card_leading_to_red_card,away_second_yellow_card_leading_to_red_card,home_fouls_committed,away_fouls_committed,home_ball_possession,away_ball_possession,home_pass_accuracy,away_pass_accuracy
/worldcup/matches/match/300331503/,2018-06-14T03:00:00.000Z,Group A,Luzhniki Stadium,Moscow,Russia,Saudi Arabia,5,0,13,6,7,0,3,3,3,3,0,0,6 ,2 ,3 ,1 ,306,511,240,442,118 km,105 km,53 ,48 ,9,16,3,3,19,31,1 ,1 ,0,0,0,0,22,10,40%,60%,78%,86%
/worldcup/matches/match/300353632/,2018-06-15T12:00:00.000Z,Group A,Ekaterinburg Arena,Ekaterinburg,Egypt,Uruguay,0,1,8,14,3,4,3,6,2,4,0,1,0 ,5 ,1 ,1 ,395,589,308,508,112 km,111 km,57 ,54 ,12,8,4,2,32,22,2 ,0 ,0,0,0,0,12,6,43%,57%,78%,86%
/worldcup/matches/match/300331526/,2018-06-15T03:00:00.000Z,Group B,Saint Petersburg Stadium,St. Petersburg,Morocco,IR Iran,0,1,13,8,3,2,6,5,4,1,0,0,5 ,2 ,0 ,0 ,433,194,371,129,101 km,100 km,38 ,38 ,9,14,1,5,16,24,1 ,3 ,0,0,0,0,22,14,64%,36%,86%,66%
/worldcup/matches/match/300331524/,2018-06-15T06:00:00.000Z,Group B,Fisht Stadium,Sochi,Portugal,Spain,3,3,8,12,3,5,2,5,3,2,0,1,4 ,5 ,1 ,3 ,366,727,320,677,102 km,103 km,36 ,28 ,8,7,2,3,17,9,1 ,1 ,0,0,0,0,12,10,39%,61%,87%,93%
/worldcup/matches/match/300331533/,2018-06-16T10:00:00.000Z,Group C,Kazan Arena,Kazan,France,Australia,2,1,12,4,5,1,4,2,3,1,0,0,5 ,1 ,0 ,0 ,484,390,423,332,103 km,111 km,52 ,49 ,6,15,1,3,23,45,1 ,3 ,0,0,0,0,16,19,51%,49%,87%,85%
/worldcup/matches/match/300331515/,2018-06-16T01:00:00.000Z,Group D,Spartak Stadium,Moscow,Argentina,Iceland,1,1,26,9,7,3,9,5,10,1,0,0,10 ,2 ,0 ,0 ,718,189,657,127,101 km,105 km,40 ,35 ,8,18,1,10,18,36,0 ,0 ,0,0,0,0,10,15,72%,28%,92%,67%
/worldcup/matches/match/300331528/,2018-06-16T04:00:00.000Z,Group C,Mordovia Arena,Saransk,Peru,Denmark,0,1,18,10,6,3,7,5,5,2,0,0,3 ,7 ,5 ,3 ,394,342,334,282,104 km,110 km,42 ,40 ,12,11,2,5,19,20,1 ,2 ,0,0,0,0,10,18,52%,48%,85%,82%
/worldcup/matches/match/300331523/,2018-06-16T07:00:00.000Z,Group D,Kaliningrad Stadium,Kaliningrad,Croatia,Nigeria,2,0,11,14,2,2,7,5,2,7,0,0,6 ,5 ,2 ,1 ,462,388,386,327,104 km,101 km,43 ,42 ,16,7,7,2,32,26,2 ,1 ,0,0,0,0,20,16,54%,46%,84%,84%
/worldcup/matches/match/300331529/,2018-06-17T12:00:00.000Z,Group E,Samara Arena,Samara,Costa Rica,Serbia,0,1,10,10,3,3,3,5,4,2,0,0,5 ,4 ,1 ,3 ,428,392,355,325,107 km,109 km,38 ,42 ,10,7,2,4,30,31,2 ,2 ,0,0,0,0,18,15,50%,50%,83%,83%
/worldcup/matches/match/300331502/,2018-06-17T03:00:00.000Z,Group F,Luzhniki Stadium,Moscow,Germany,Mexico,0,1,25,12,9,4,9,6,7,2,2,0,8 ,1 ,1 ,2 ,595,281,524,231,110 km,106 km,31 ,38 ,9,7,2,7,12,42,2 ,2 ,0,0,0,0,10,15,60%,40%,88%,82%
